Fighter,KD,Strikes,TD,Sub,Win_Rate,Total_Matches
Antoni Hardonk,0.43333333333333335,22.666666666666664,0.0,0.3666666666666667,53.33333333333333,4.0
Antonina Shevchenko,0.0,41.33333333333333,0.5,0.3,53.33333333333333,4.0
Antonio Arroyo,0.0,29.0,0.25,0.0,0.0,1.5
Antonio Banuelos,0.0,10.0,0.0,0.0,0.0,1.0
Antonio Braga Neto,0.0,13.333333333333334,2.0,0.3333333333333333,33.33333333333333,3.0
Antonio Carlos Junior,0.0,22.023809523809526,2.583333333333333,0.6071428571428572,53.57142857142857,6.5
Antonio Carvalho,0.25,26.0,0.0,0.0,50.0,4.0
Antonio Dos Santos,0.5,24.0,0.0,0.0,0.0,2.0
Antonio McKee,0.0,25.0,1.0,0.0,0.0,1.0
Antonio Mendes,0.5,4.0,0.5,0.0,0.0,2.0
Antonio Rodrigo Nogueira,0.3392857142857143,23.089285714285715,0.7321428571428572,0.9821428571428572,46.42857142857143,5.5
Antonio Silva,0.3666666666666667,17.25,0.0,0.0,28.333333333333332,5.5
Anying Wang,0.0,6.5,0.0,0.0,50.0,1.0
Aoriqileng,0.16666666666666666,70.0,1.1666666666666665,0.0,33.33333333333333,2.0
Ariane Carnelossi,0.0,35.25,1.25,0.25,50.0,2.0
Ariane Lipski,0.3,39.375,0.325,0.2,40.0,4.5
Ariel Beck,0.0,35.0,0.0,0.0,0.0,1.0
Arjan Bhullar,0.25,30.25,1.5,0.0,75.0,4.0
Arman Tsarukyan,0.2,50.4,2.7333333333333334,0.0,80.0,4.0
Armen Petrosyan,0.0,100.75,0.0,0.0,75.0,1.5
Arnold Allen,0.21428571428571427,43.35714285714286,1.0714285714285714,0.30952380952380953,100.0,5.0
Artem Lobov,0.0,56.08333333333333,0.375,0.0,29.166666666666664,3.5
Asbel Cancio,0.0,0.0,0.0,0.0,0.0,1.0
Ashkan Mokhtarian,0.0,27.0,0.5,0.0,0.0,2.0
Ashlee Evans-Smith,0.0,54.25,0.875,0.0,37.5,4.0
Ashley Yoder,0.0625,43.5,1.5,0.375,18.75,5.0
Askar Askarov,0.0,45.8,2.6,0.4,60.0,5.0
Askar Mozharov,0.0,2.0,0.0,0.0,0.0,1.0
Aspen Ladd,0.25,36.05,1.1,0.3,55.0,3.5
Assuerio Silva,0.0,17.75,3.25,0.0,0.0,1.5
Augusto Mendes,0.25,23.5,1.0,0.0,25.0,1.5
Augusto Montano,0.0,46.25,0.0,0.0,25.0,1.5
Augusto Sakai,0.125,47.55,0.25,0.0,57.5,4.5
Austin Arnett,0.0,51.5,0.5,0.0,25.0,2.0
Austin Hubbard,0.0,40.55,0.8,0.0,30.0,3.5
Austin Lingo,0.5,57.0,0.5,0.0,50.0,4.0
Austin Springer,0.0,14.0,0.0,0.0,0.0,1.0
Azamat Gashimov,0.0,5.5,0.5,0.0,0.0,2.0
Azamat Murzakanov,1.0,53.5,0.5,0.0,100.0,2.0
Azunna Anyanwu,0.0,37.0,0.0,0.0,0.0,1.0
BJ Penn,0.275,36.74166666666667,0.95,0.45,45.0,13.5
Barb Honchak,0.0,47.5,0.0,1.0,0.0,1.0
Bart Palaszewski,0.16666666666666666,25.0,0.0,0.8333333333333333,16.666666666666664,2.0
Bartosz Fabinski,0.0,20.0,4.375,0.0,50.0,3.0
Bas Rutten,0.5,24.5,0.0,0.5,100.0,2.0
Batgerel Danaa,0.5,50.125,0.125,0.0,50.0,3.0
Bea Malecki,0.0,61.333333333333336,0.0,0.6666666666666666,66.66666666666666,3.0
Bec Rawlings,0.0,61.35,0.4,0.2,20.0,3.5
Belal Muhammad,0.0,53.625,1.5673076923076923,0.11538461538461539,67.3076923076923,8.5
Ben Alloway,0.3333333333333333,10.333333333333334,0.3333333333333333,0.0,33.33333333333333,3.0
Ben Askren,0.0,31.5,2.25,0.25,25.0,1.5
Ben Earwood,0.0,5.0,2.0,0.0,100.0,1.0
Ben Nguyen,0.6,30.9,0.1,0.4,55.0,3.5
Ben Rothwell,0.22916666666666666,40.173611111111114,0.5208333333333333,0.3472222222222222,51.38888888888889,8.5
Ben Saunders,0.15,25.822222222222223,0.10555555555555556,0.6833333333333333,47.22222222222222,9.5
Ben Sosoli,0.0,15.5,0.0,0.0,0.0,2.0
Ben Wall,0.0,2.5,0.0,0.0,0.0,2.0
Beneil Dariush,0.3173076923076923,36.27403846153846,1.3365384615384617,0.6298076923076923,78.36538461538461,10.5
Benito Lopez,0.25,39.0,0.0,0.25,50.0,2.0
Benji Radach,0.75,17.25,0.0,0.0,50.0,1.5
Benoit Saint Denis,1.5,39.75,1.75,0.5,75.0,1.5
Benson Henderson,0.22916666666666666,60.958333333333336,2.458333333333333,0.75,79.16666666666667,7.0
Bentley Syler,0.0,15.0,0.0,0.0,0.0,1.0
Bernardo Magalhaes,0.0,27.0,0.0,0.5,0.0,1.0
Besam Yousef,0.0,35.5,1.0,0.0,0.0,2.0
Bethe Correia,0.0,56.0,0.375,0.0,43.75,6.0
Bevon Lewis,0.0,35.5,0.0,0.0,16.666666666666664,2.0
Bharat Kandare,0.0,3.0,0.0,0.0,0.0,1.0
Bibulatov Magomed,0.0,29.75,1.5,0.0,25.0,1.5
Bill Algeo,0.0,67.16666666666667,0.8333333333333333,0.0,49.99999999999999,3.0
Bill Mahood,0.0,1.0,0.0,0.0,0.0,1.0
Billy Miles,0.0,0.0,0.0,0.0,0.0,1.0
Billy Quarantillo,0.16666666666666666,121.41666666666666,0.8333333333333334,0.6666666666666666,41.66666666666667,3.5
Blagoy Ivanov,0.16666666666666666,53.83333333333333,0.8333333333333333,0.125,41.666666666666664,3.5
Blake Bilder,0.0,111.0,1.0,0.0,100.0,1.0
Blood Diamond,0.0,32.0,0.0,0.0,0.0,2.0
